ID,SessionID,StartTime,EndTime,Duration
VerifyCircuit,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745743,1697745803,60557
PostProcessComplete,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745745,1697745745,3
SetupComplete,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745745,1697745779,33741
CompileCircuit,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745745,1697745756,11518
ComputeSetup,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745756,1697745779,22174
ComputeWitness,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745803,1697745803,1
VerifyCircuit,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745803,1697745869,65665
PostProcessComplete,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745806,1697745806,3
SetupComplete,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745806,1697745844,37540
CompileCircuit,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745806,1697745822,15364
ComputeSetup,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745822,1697745844,22126
ComputeWitness,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745869,1697745869,1
VerifyCircuit,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745869,1697745933,64087
PostProcessComplete,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745871,1697745871,3
SetupComplete,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745871,1697745908,37203
CompileCircuit,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745871,1697745886,15098
ComputeSetup,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745886,1697745908,22055
ComputeWitness,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745933,1697745933,1
VerifyCircuit,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745933,1697745998,64943
PostProcessComplete,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745936,1697745936,3
SetupComplete,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745936,1697745973,37420
CompileCircuit,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745936,1697745951,15188
ComputeSetup,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745951,1697745973,22184
ComputeWitness,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745998,1697745998,1
VerifyCircuit,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745998,-62135596800,0
postprocessAndSetupHandler,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745651,1697745651,0
verifyHandler,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745651,1697745651,0
PostProcessComplete,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745682,1697745682,37
SetupComplete,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745682,1697745719,37482
CompileCircuit,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745682,1697745697,15367
ComputeSetup,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745697,1697745719,22073
ComputeWitness,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745743,1697745743,1
VerifyCircuit,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745743,1697745803,60557
PostProcessComplete,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745745,1697745745,3
SetupComplete,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745745,1697745779,33741
CompileCircuit,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745745,1697745756,11518
ComputeSetup,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745756,1697745779,22174
ComputeWitness,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745803,1697745803,1
VerifyCircuit,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745803,1697745869,65665
PostProcessComplete,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745806,1697745806,3
SetupComplete,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745806,1697745844,37540
CompileCircuit,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745806,1697745822,15364
ComputeSetup,c76e5f98-013a-4894-b386-adbed44f4a9a,1697745822,1697745844,22126
