ID,SessionID,StartTime,EndTime,Duration
SetupComplete,7912dd6c-2dc2-477c-a887-a0b6d4c521a3,1698100604,1698100640,36261
CompileCircuit,7912dd6c-2dc2-477c-a887-a0b6d4c521a3,1698100604,1698100613,8752
ComputeSetup,7912dd6c-2dc2-477c-a887-a0b6d4c521a3,1698100613,1698100640,27115
ComputeWitness,7912dd6c-2dc2-477c-a887-a0b6d4c521a3,1698100679,1698100679,0
VerifyCircuit,7912dd6c-2dc2-477c-a887-a0b6d4c521a3,1698100679,1698100771,92520
PostProcessComplete,7912dd6c-2dc2-477c-a887-a0b6d4c521a3,1698100699,1698100699,2
SetupComplete,7912dd6c-2dc2-477c-a887-a0b6d4c521a3,1698100699,1698100736,36838
CompileCircuit,7912dd6c-2dc2-477c-a887-a0b6d4c521a3,1698100699,1698100708,8814
ComputeSetup,7912dd6c-2dc2-477c-a887-a0b6d4c521a3,1698100708,1698100735,27127
ComputeWitness,7912dd6c-2dc2-477c-a887-a0b6d4c521a3,1698100771,1698100771,0
VerifyCircuit,7912dd6c-2dc2-477c-a887-a0b6d4c521a3,1698100771,-62135596800,0
postprocessAndSetupHandler,7912dd6c-2dc2-477c-a887-a0b6d4c521a3,1698099554,1698099554,0
verifyHandler,7912dd6c-2dc2-477c-a887-a0b6d4c521a3,1698099554,1698099554,0
PostProcessComplete,7912dd6c-2dc2-477c-a887-a0b6d4c521a3,1698099557,1698099557,23
SetupComplete,7912dd6c-2dc2-477c-a887-a0b6d4c521a3,1698099557,1698099593,36035
CompileCircuit,7912dd6c-2dc2-477c-a887-a0b6d4c521a3,1698099557,1698099566,8642
ComputeSetup,7912dd6c-2dc2-477c-a887-a0b6d4c521a3,1698099566,1698099593,27007
ComputeWitness,7912dd6c-2dc2-477c-a887-a0b6d4c521a3,1698099627,1698099627,0
VerifyCircuit,7912dd6c-2dc2-477c-a887-a0b6d4c521a3,1698099627,1698099627,2
PostProcessComplete,7912dd6c-2dc2-477c-a887-a0b6d4c521a3,1698100317,1698100317,2
SetupComplete,7912dd6c-2dc2-477c-a887-a0b6d4c521a3,1698100317,1698100353,36245
CompileCircuit,7912dd6c-2dc2-477c-a887-a0b6d4c521a3,1698100317,1698100325,8739
